id	tweet	subtask_a	subtask_b	subtask_c
18	१९३९ साली खोती पद्धत रद्द करून शासनाला कूळ कायदा बनविण्यास भाग पाडणारे आगरी समाजातील नेते नारायण नागो पाटील प्रकल्पग्रस्ताना…	NOT		
19	आपल्या लाडक्या अवधूतदादाच्या युट्युब चॅनेलवर लवकरच येतेय सोन्याच्या मधानं भिजलंय लावणी तुमच्यासाठी नक्कीच इथे टा…	NOT		
20	शेतकरी आज खरंच खुश दिसतोय याच हे उत्तम उदाहरण चार एकर कोथिंबीरीला ४१ दिवसात जेव्हा १२ लाख ५० हजार रूपये मिळाले	NOT		
21	बोनस चित्रपटाच्या चित्रिकरणाच्या वेळेच्या या गोष्टी माहित आहे का तुम्हाला?	NOT		
22	अजूनही हिंदी लादत आहे भाषिकांवर ?आपण फोन केला की कोरोनामुक्तीच्या हिंदीत…	NOT		
23	माणुसकीचे असावे माणसाला छंद तेंव्हाच जोडले जातात मनाशी मनाचे रेशमी बंध या ठिकाणी आहेत फॉलो करून अनफॉलो करणारेच…	NOT		
24	तो माझ्यात मैत्रीण शोधतोय आणि मी त्याची प्रेयसी बनण्याच्या प्रयत्नात दोघेही असफल या न संपणाऱ्या युद्धात …	NOT		
25	कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म करून तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवाला स्वत …	NOT		
26	महाराष्ट्रातील सध्याच्या सरकारने नीटपणे बाजू न मांडल्यानेच स्थगिती मिळाली असे विरोधकांनी म्हणायचे आणि आधीच्या सरकारने तयारी…	NOT		
27	पुणे नाशिक महामार्गावरील मोशी टोलनाक्यावर वाहनांच्या रांगा लागल्यात	NOT		
28	महाराष्ट्राकडून ला बाबरी मज्जिद पाडण्यात आली आणि आज ला महाराष्ट्र पोलिसाकडून मुंबईमधली बाबरी मशीद…	NOT		
29	वर चीन सोबत असलेल्या स्थितीवर रक्षा मंत्री च लोकसभेत संबोधन जेवढे सांगता येईल तेवढे सांगितले आता अश्यावेळी ते मंद…	NOT		
30	प्रत्येक आंदोलनाला एक इतिहास व एक भविष्य असते स्वातंत्र्याची लढाई संयुक्त महाराष्ट्र चळवळ गोवा मुक्ती संग्राम व…	NOT		
31	हिंदूस्थान माझा देश अशा कट व्याना इथे खपवून घेतले जाणार नाही …	NOT		
32	महत्वाचा प्रश्न आहे रोजगार निर्मिती चे धोरण आणि सातत्यपूर्ण प्रयत्न सरकारकडून व्हावे लागतात तरच पुढील वर्षांनी…	NOT		
33	पाहा महाराष्ट्रातील आजचे आकडे काय आहेत	NOT		
34	बघू आजचा पोल कोणाच्या बाजूने जास्त येतो ते	NOT		
35	मामहापौर ताई आपण आज च्या पत्रकाराशी बोलताना हिंदीत संवाद साधला महाराष्ट्राची राज्यभाषा…	NOT		
36	आवताण द्यायचं नाय नाअन दिलाय तर डांगीत पाय घालून पळायचं नायगाण ने नाही गु अन हगणे चाले जुहू अशी गत तुझी भेंडी	NOT		
37	नासधूस झालेल पीक बिचारा ऊघड्या डोळ्यानं पाहतो अधिकारी येऊन पीकाचा पंचनामा करून निघून जातो नुकसान झा…	NOT		
38	सोडले तर सर्व पंथातील लोक स्वत च्या पवित्र ग्रंथाबद्दल जागरुक असतातपठण करतातघरोघरी प्रत जतन करतात अनेक हिंदूत्ववा…	NOT		
39	कमी पैस्यांत शिक्षण होत एव्हड समजलं तरी खुप झालं आता तुला खाजगीकरण व आरक्षण हे वेगळे विषय आहेत हे…	NOT		
40	त्यात पण राष्ट्रवादीची नाजायज औलाद विधवा विलापाला पुढे राहिली असतीसत्ता यांचीविषय राज्याचा तरी अपे…	NOT		
41	किती रंगवीशी रंग रंग भरले डोयात माझ्यासाठी शिरीरंग रंग खेये आभायात बहिणाबाई चौधरी…	NOT		
42	रोहित धोनी नव्हे तर हे ३ क्रिकेटर्स आयपीएल २०२०मध्ये पटकावतील सर्वाधिक षटकार मारण्याचा अवॉर्ड…	NOT		
43	मराठवाडा विदर्भासाठी आनंद वार्ता कोटा अखेर रद्द	NOT		
44	आणि बालपणी ऑटोग्राफ देणाऱ्या क्रिकेटरने पेन नेल्यामुळे ढसाढसा रडलेल्या स्टारची गोष्ट वाचा	NOT		
45	सन २०२० २०२१ या वर्षात मराठा समाजाला नोकऱ्या आणि शैक्षणिक संस्थामध्ये आरक्षणाचा लाभ मिळणार नाही …	NOT		
46	मित्र आरश्या सारखे असतात	NOT		
47	तुझ्या हिश्श्याचं चांदणं अजून छतावर तसंच आहे आलीस कधी चुकून तर अंधाराला विकून जा कोपऱ्यात पडलेला चंद्र तेवढा ज…	NOT		
48	आपन गोटया खेळायच्या फक्त	NOT		
49	अकबराच्या सहिष्णु प्रतिमेमागचं सत्य जाणून घ्या हा इतिहास धक्कादायक आहे	NOT		
50	च्यायला हे बरं आहे म्हणजे आत्तापर्यंत मनमोहन सिंगांवर कोणीही उठून काहीही बोलायचं मग त्यामध्ये शि…	NOT		
51	मनात खूप काही असतं पण सांगता येत नाही कसली भीती असते माहीत नाही कधी कधी नात्यातला गुंता सोडवण्यापेक्षा शां…	NOT		
52	तुला समजला नां मंद सैनिकांना अस उलट मराठी कळत	NOT		
53	ट्विटरवर जे लोक टीएलवर याविषयांवर सर्वात जास्त ट्विटस करत असतात तेच लोक सर्वात जास्त इतर…	NOT		
54	तुम्ही धीर किती धरता तो धीर धरण्याचं सामर्थ्य तुमच्यात किती ह्या गोष्टीला आयुष्यात जास्त महत्व आहे श्रीकृष्ण…	NOT		
55	आणि राहिला विषय पदाचा ज्या वेळेला गुलाम लाचार आणि सतरंज्या उच…	NOT		
56	सरकारने आणि मीडिया ने रिह्या सुशांत आणि कंगना यांना जेवढं गांभीर्याने घेतला तितकंच राहुल गांधी ला घेतला असत तर थो…	NOT		
57	तुम्हाला कसे माहीत नाही तेकिती बाजू घेणार तिची प्रसिद्धीसाठी तोंडात येईल ते बोलते	NOT		
58	जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम कर…	NOT		
59	मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर…	NOT		
60	प्रीमियर लीग अवघ्या पाच दिवसांवर येऊन ठेपली आहे या हंगामात सर्वाधिक गोल्स कोण करेल?	NOT		
61	खोटेपणा आणि मोठेपणा दाखवून माणसं जोडता येतात पण ते टिकवता येत नाही जे काही आहे ते रियल आहे अस करा की आपला स्व…	NOT		
62	करोनाच्या प्रादुर्भावामुळे सात महिन्यांपूर्वी भूमिपूजन होऊनही कागदावरच राहिलेल्या बहुचर्चित समूह पुनर्विकास…	NOT		
63	जीवनात त्याच गोष्टी करण्यात मजा आहे ज्या गोष्टीला लोक म्हणतात की तुला हे कधीच जमणार नाही शुभ सकाळ शिव…	NOT		
64	आयुष्य इतक सुंदर नसतं जर तुझी एन्ट्री झाली नसती हसत खेळत रडखडत डोक्यावर ती प्रेमाची टपली पडली नसती	NOT		
65	माणुसकीचे असावे माणसाला छंद तेंव्हाच जोडले जातात मनाशी मनाचे रेशमी बंध या ठिकाणी आहेत फॉलो करून अनफॉलो करणा…	NOT		
66	भाजपचे खासदार च्या आयटी सेल संदर्भात काय म्हणतात ते वाचा	NOT		
67	आणि त्यांच्या निष्ठावंत समर्थकांची खरच गोची झालीये त्यांनाही आतून पटलं नसणार हे पण…	NOT		
68	एकाचे शंभर करायला वेळ लागत नाही मात्र शून्याचा एक करायला वेळ लागतो हा नियम खुद्द सचिन तेंडुलकरलाही लागू झाला १००…	NOT		
69	तीन हजार आठशे चारशे म्हणून एखाद्याला हसण्यापुर्वी आपण किती चुका करीत असतो हे एकदा पाहायला हवे	NOT		
70	ह्या अन त्या जोरजोरात प्रश्न विचारणाऱ्या पत्रकारांच्या डोक्यावर परिणाम झालाय वाटत त्यांना हे काका पोस्टमन आहेत…	NOT		
71	शरीर नेहमी उष्ण असणे हिरड्यांतून रक्त येणे शरिराची आग होणे अंगावर गां…	NOT		
72	आठवले पक्षाचा कार्यकर्त्यांकडे बघितलं की असं वाटत की संविधान फक्त बाबासाहेबानी बनवलाय म्हणून आम्ही मानणार आणि जर दु…	NOT		
73	राज्य छोटे असले तरी चालेल पण स्वतःच असावं त्यामुळे स्वतःचं अस्तित्व निर्माण करा जग तुमचा आदर करेल	NOT		
74	जीवनात एक तरी असा मित्र बनवा जो आपले दुःख न विचारता फक्त आपल्या हावभाव व चेहऱ्यावरुन ते ओळखू शकेल	NOT		
75	चषक जिंकल्यावर कॅप्टन कुल धोनी अचानक कुठे गायब होतो? वाचा कौतुकास्पद उत्तर	NOT		
76	शिवजन्मभूमी भगवा शालू घेऊन नटली निसर्गाची माया	NOT		
77	काही वर्षांपूर्वी घरात गणेश स्थापना केली या कारणावरून काही दलित बंधूंना वाळीत टाकणारे स्वयंघोषित रिपब्लिकन नेते आज देवळाचं रा…	NOT		
78	येत्या काळात ड्रग ही आवश्यकता का बनते बिचारे कलाकार का बळी पडतात ड्रग ही आवश्यकता असल्याने तो गुन्हा ठ…	NOT		
79	राज्याचे मुख्यमंत्री उध्दव कंगनाच्या मागे हात धुऊन मागे लागले आहेत बायकांच्या मागे…	NOT		
80	जर खरच मानसिक समाधान ही जगातली सगळ्यात मोठी श्रीमंती असेल तर वातानुकूलित चारचाकी मध्ये फिरणाऱ्या नोकरदारापेक्षा रोडवर…	NOT		
81	शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठवण व्हा…	NOT		
82	ज्येष्ठ व उच्चविद्याविभूषित अभिनेत्री लीला चिटणीस यांची आज जयंती हिंदी चित्रपटातील वात्सल्यसिंधू आई म्हणून त्या…	NOT		
83	चा स्वस्त वेरिएंट कंपनीच्या साइट वर झाला लिस्ट येईल लवकरच	NOT		
84	क्रेडिट कार्ड वापरताय? या गोष्टींचे भान ठेवले नाही तर मोठ्या समस्यांना सामोरे जावे लागेल	NOT		
85	मिट्रो कोथरुड मध्ये टेस्टिंग सेंटर कुठे आहे एनी आयडिया? आणि पॉसिटीव्ह आल्यानंतर चे प्रोटोकॉलस स्टेप्स बद्दल कोणाला काही आ…	NOT		
86	कोणाही ‘टॉम डिक आणि हॅरीनं मुख्यमंत्र्यांचा केलेला अनादर स्वीकारार्ह नाही जलील यांचा कंगनाला टोलाखासदार इम्तियाज…	NOT		
87	नशीबवान खूपच नशीबवान मग येतात अजूनही ची पूर्ण जाहिरात न बघणारे (कारण ते च्या बाईलवेड्या फालतू मालि…	NOT		
88	म्हणून गप्प आहेत?????? मान…	NOT		
89	इमारत पुन्हा उभी राहील परंतु सरकार पडेल ते पुन्हा उभे राहील काय ?	NOT		
90	ची मराठी वर लक्ष्य द्या असं वाटतंय तोंडात पान मसाला घालून बोलू राहिला आहे	NOT		
91	माझे मित्र जेव्हा मी त्यांना पार्टी देतो तेव्हा असे खातात पितात की जन्मल्या पासून काही खाल्लच नाही आहे	NOT		
92	आणि रिया…	NOT		
93	ॐ जैसे लाखोलीचें धान्य । निवडून वेंचितां होतें मान्य । सगट मानितां अमान्य । देव क्षोभे ।। काहिण्या कथा गोष्टी पवाड ।…	NOT		
94	राज्यात उभारण्यात आलेल्या जम्बो कोविड सेंटरमधील परिस्थितीकडे सरकारचं लक्ष वेधत फडणवीस यांनी सरकारवर टीका केली आले…	NOT		
95	मुख्यमंत्री बंगला दुरुस्ती साठी कोटी आणि विदर्भ पूरग्रस्त लोकांसाठी कोटी हीच का तुमची राज्याच्या…	NOT		
96	तमिळनाडूचा मेकॅनिकल इंजिनीयर आयपीएलमध्ये करोडपती होतो तेव्हा	NOT		
97	हे प्रकाशित हो…	NOT		
98	विराटशी तुलना करणे सोडा मी तर त्याच्या आसपासही नाही	NOT		
99	आपली घरं जळत आहेत दुसऱ्यांच्या घरांवर आग लागलेली बघायचं बंद करा कारवाई योग्य आहे परंतु कोरोना अर्थव्यवस्था महागाई…	NOT		
100	जर खरच मानसिक समाधान ही जगातली सगळ्यात मोठी श्रीमंती असेल तर वातानुकूलित चारचाकी मध्ये फिरणाऱ्या नोकरदारापेक्षा…	NOT		
101	टाळेबंदीमुळे नोकरीवर गदा रोजगाराच्या शोधासाठी वाहतुकीचा अभाव उपनगरी गाडय़ा बंद असल्याने पालघर जिल्ह्य़ातील…	NOT		
102	आज उद्या रक्तदान करण्याचा विचार आहे फोटोचा आणि याचं काही कनेक्शन नाही फोटो छान दिसतोय असं वाटलं म्हणून टाकला कसा…	NOT		
103	मी पण उद्या राज्यपालांची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन…	NOT		
104	मदराशा चा भोंगा बंद करा अशी विनंती केल्यावर तोंडात केळ घेऊन बसलेली वर्षानुवर्षे पावसाळ्यात गटारी साफ न कर…	NOT		
105	छत्रपती संभाजी महाराज यांच्या नावाने गेल्या कित्येक वर्षांपासून बिडी विकणाऱ्या कंपनीला अखेर दणका बसला आहे संभाजी…	NOT		
106	होणे कुटुंब व्यवस्थेला हादरा देणारं आहे मग ते कोणा एका साथीदाराची इच्छा आहे म्हणून किंवा परस्पर संमतीने	NOT		
107	आपल्या आई वडिलांच्या भगीरथ प्रयत्नांनंतर आपला जन्म झाला तो देखील महाराष्ट्रात राज्याची मातृ…	NOT		
108	एका लायकी नसलेल्या बाईने आपल्या मुंबईला पाकिस्तान म्हणून संबोधले आणि केंद्र सरकारने तिला जाब विचारायचा सोडून तिच्या…	NOT		
109	हो त्यांना कधी कधी सोन्या हाक मारतो आम्ही आता दादा बिहार ला आहेत तिकडे जाऊन सोन्या सारखा हागुन नका…	NOT		
110	फेसबुकच्या चावडीचे खुद्द मालक मार्क झुकरबर्ग यांच्याबद्दल १० अफलातून गोष्टी	NOT		
111	शांत व प्रसन्न मन हे शेवटचे असे हत्यार आहे की जे जीवनातील कोणत्याही प्रकारच्या आव्हानांना सामोरे जाण्यास सज्ज असते	NOT		
112	मंद गंधित बागेतून पाहिले तुला जातांना फुलासोबत लाजून तू प्रणय गीत गातांना (माझ्या बागेतील फुले भाग ६)	NOT		
113	रिलायंस जिओ ला मिळालेल्या प्रचंड यशाचं रहस्य काय आहे? समजून घ्या	NOT		
114	मी पण उद्या राष्ट्रपतीची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन दिले होते …	NOT		
115	आपल्यापासून लपवला गेलेला रस्ता अपघात झाल्यास सरकारने पीडितांना भरपाई देण्याचा महत्वपूर्ण नियम	NOT		
116	काटे च्या चांगलेच काटे रुतलेली दिसतात अरे बावळट मानसा तर्कशुद्धपध्दतीने विरोध कराय…	NOT		
117	नमस्ते ट्विटरकर आज वाचनात आलेल्या पुस्तकाचे नाव गोष्टी माणसांच्या हे पुस्तक मूळ ‘हाऊ आय टॉट माय ग्रँडमदर टू रीड अँड…	NOT		
118	८ सप्टेंबर बगळ्यांची माळ फुले अशी एकाहून एक सरस गाणी लिहिणारे कवी यांचा स्मृतिदिन निजाम सरकार…	NOT		
119	मनात जे असत ते बोलून लिहायच्या वेळी मी सगळे शब्द बरोबर उच्चारतो पण तेच कागदावर उतरतं असताना हमखास त्यातले २ ३ शब्द इथे तिथे…	NOT		
120	जिथे शिवसेनेचा हाथ असतो तिकडे अनधिकृत बांधकामे पाडली जातात एक आणि दुसरी कंगना ची	NOT		
121	आज ९ सप्टेंबर २०२० बरोबर ५१ वर्षे झाली मध्ये महापूर येऊन गेला ९ सप्टेंबर १९६९ मध्ये आलेल्या ह्या महापुरामळे नाशिक म…	NOT		
122	मरणाची जी असते तीही शेवटी मरूनच जाते जीवनातली जबाबदारी जणू मरणाला मातीच देते …	NOT		
123	सुशांत बिहारचा रिया बँगलोर कंगना हिमाचल प्रदेश आणि भांडणं महाराष्ट्रात हे बरोबर नाही अध्यक्ष महोदय	NOT		
124	धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा नकोच थांबु तु आता असाच पडत रहा नकोच समजावु काहीच तु तसाच फक्त कळत रहा होऊ…	NOT		
125	सकाळी सकाळी बातमी २ लाख कोरोना रुग्णांसह पुणे जिल्हा देशांत नंबर१	NOT		
126	२०१६ साली भाजपचे तेव्हाचे आमदार व आताचे खासदार उन्मेष पाटील व इतरांनी माजी सैनिक सोनू म…	NOT		
127	नाव बदलले तर यांचे राजकारण करण्याचा एक मुद्दा कमी होईल ना यांना फक्त घोंगडे भिजत ठेवण्यात मजा ये…	NOT		
128	एमएएच बॅटरी आणि इंचाचा डिस्प्ले असलेला हा डिवाईस फक्त रुपयांमध्ये झाला भारतात लॉन्च	NOT		
129	हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखवलंआम्ही…	NOT		
130	शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठ…	NOT		
131	क्रिकेटवेड्या पोरापायी गावातील जमीनदार बाप मोहालीत भाड्याच्या घरात राहू लागला	NOT		
132	कधी अचानक रात्री मला झोप येत नाही आणि मी डोळे न मिटता मी त्या सगळ्या आठवणी आठवतो कधी तिच्या डोळ्यात बघतांनाकधी हसता…	NOT		
133	सुखाच्या एका अपेक्षेने दुःखाचे अनेक वार सहन केले पण सुखाने एक झलक दाखवली आणि दुःखाला बोलावणे पाठवले ©	NOT		
134	गुजराथ मधील ३०२२ मृत्युंची सांख्यीकी १) हाॅस्पीटलायझेशन नंतर पहिल्या २४ तासात ६ ७२ तासात २६ २) वय ६…	NOT		
135	यार या सरकारच्या मंत्र्यांमध्ये शर्यत लागली आहे कोणाला किती धमकी चे फोन येतात म्हणून जणू हे काय कुठ…	NOT		
136	पालकमंत्री साहेब संगमनेर तालुक्यातील गाव आहे माझे साली मी जमीन बँकेकडे गहान ठेऊन …	NOT		
137	जाता जात एक हलकासा घाव दुरावणाऱ्या मनांना न सुटणारा हाव	NOT		
138	आपण दररोज रोपांना पाणी देतो पण फळ फुले फक्त त्या त्या ऋतूमाना प्रमाणेच येतात म्हणूनच आयुष्यात संयम ठेवा प्रत्येक गो…	NOT		
139	प्रेमींनो आली रे आली आली ला भेट द्या आपली टीम बनवा आणि सहभागासा…	NOT		
140	बनगरवाडी व्यंकटेश माडगुळकर आवडता ग्रामीण कथासंग्रह माणदेशातल्या एका लेंगरवाडी नावाच्या वाडीवर…	NOT		
141	कंगनाचे ऑफिस फुटल्यास आज सर्वात जास्त आनंदी हृतीक रोशन असेल	NOT		
142	पंजाबी घरात जन्मलेला अक्षय एवढी भारी मराठी बोलतो याचं अनेकांना आश्चर्य वाटतं आज या खिलाडी कुमारचा वाढदिवस	NOT		
143	मुकेश अंबानी यांच्या निवेदनानुसार वर्षात रिलायन्स सध्याच्या दुप्पट व्यवसाय करत असेल शेअर ची किंमत अगदी व्यवसा…	NOT		
144	हा नागपुरातील नेता महाराष्ट्र व मराठी लोकांनवर एक मोठा काळा कलंक आहे	NOT		
145	मुळे विद्यार्थ्यांची परीक्षा	NOT		
146	महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त कर…	NOT		
147	कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म करून तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवा…	NOT		
148	साखर पडो तुमच्या तोंडातखरंच असे झाले असते तर	NOT		
149	महाराष्ट्रात कोरोनाची लागण झालेल्यांची संख्या वर पोहचली असून त्यातील बरे झालेल्यांची संख्या इतकी आहे…	NOT		
150	डॉबाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही…	NOT		
151	याआधी कितीजण बोलून गेले तेव्हा झोपले होते का?महाराज्यांच्या…	NOT		
152	मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी…	NOT		
153	बीभत्स बॉलिवूड हिंदी चित्रपटसृष्टीच्या गोजिऱ्या चेहऱ्यामागचं विकृत विद्रुप वास्तव	NOT		
154	गोविंद स्वरूप यांच भारतासाठी योगदान केवढं रिया अन बाकी सगळे तत्सम लोकांचं भारतासाठी योगदान केवढं?? आपला समाज गो…	NOT		
155	जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम करतो ना…	NOT		
156	शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते	NOT		
157	सुशांत बिहारचा रिया बंगलोर ची कंगना हिमाचल प्रदेश ची आणि भांडणं मात्र आपल्या लागलेत कुठे नेऊन ठे…	NOT		
158	समोरचा माणूस ज्ञानी की अज्ञानी हे तुम्हाला त्या मुद्द्यावर किती ज्ञान आहे यावर अवलंबून आहे	NOT		
159	वाल्यांना राजकारण करता येत नाही हे त्रिवार सत्य आहे आज शिवसेनेने जसा सूड घेतला तसलं कृत्य जर भाजपच्या महापौ…	NOT		
160	आज कंगना येतीये का मा पंतप्रधान तेच कळत नाहीये त्यात आजीचा प्रश्न तीच घर पडायचा काय संबंध इतके दिवस त्यांना दिस…	NOT		
161	सुडाचे राजकारण करणार्‍या शिवसेनेचा निषेध	NOT		
162	सोप्पे आहे मधील सीक्रेट चॅट लपवणे फॉलो करा या स्टेप्स	NOT		
163	सरकार आणि विरोधी पक्षांनी याबद्दल बोललं पाहिजे ते कंगनाचे काय ते कायद्याने होउदे सरकार व्यवसाय वाढी साठी काय करत आहे हे…	NOT		
164	दादा शेतकऱ्यांचा आणि गरिबाच्या मुलांचं कुठ चुकत आहे तुम्ही च सांगा मराठा आरक्षण स्थगित केलं आणि लगेच पो…	NOT		
165	तू बनशील का ची संध्याकाळ मस्त पैकी तुज्यात भटकत बसेन	NOT		
166	आज ‘अक्षरनामा मध्ये दलित आदिवासी अल्पसंख्याक समाजाचे प्रतिनिधित्व नसणाऱ्या आणि विशिष्ट विचारसरणी प्रतिबिंबित करणाऱ्या धो…	NOT		
167	कंगना सारख्या परप्रांतीय लोकांची आणि माणसाला बदनाम करण्याची हिम्मत वाढली त्यासाठी उद्धव…	NOT		
168	योग्य व्यक्तीच्या हाती अयोग्य व्यक्ती आणि अयोग्य व्यक्तीच्या हाती योग्य व्यक्ती गेल्याने प्रेमाला निष्कारण बदनाम व्हा…	NOT		
169	ती यायच्या आधीच तोडफोड सुरु आणि ती येताच तोडफोड बंद एवढं घाबरायचं ??	NOT		
170	उठा उठा सकाळ झाली देशातील काहीतरी विकायची वेळ झाली सुप्रभात	NOT		
171	झाशीची राणी लक्ष्मीबाई नेवाळकर होत्या झाशी संस्थान साम्राज्याच्या सरदाराचे होते उर्फ	NOT		
172	विदर्भ महाराष्ट्राचाच तिकडचे काही लोक हिंदी बोलतात म्हणून विदर्भ मध्यप्रदेशचा भाग म्हणत असतील ते काश्मीरचे बहुतांशी नागरिक…	NOT		
173	तुषार दामगुडे ह्या मावळ्यांनी भंगार परिषद संबंध यांच्याबद्दल तक्रार दाखल केली होती आपल्या आसपास…	NOT		
174	आता आला आहे स्वस्त एक्सबॉक्स गेमिंग कॉन्सोल अधिक माहिती	NOT		
